language,value,Reference
Tatar," Formally similar, without interrogative",Poppe 1968
Tawala," Formally similar, with interrogative",Ezard 1997
Telugu," Formally similar, with interrogative",Emeneau 1980; Gil 1994b
Tepehuan (Southeastern), Formally different,Willett 1991
Teribe, Formally different,Quesada 2000
Thai," Formally similar, with interrogative",Noss 1964: 181
Tiwi, Formally different,Osborne 1974
Tsimshian (Coast)," Formally similar, without interrogative",Boas 1911c: 317
Tukang Besi, Formally different,Donohue 1999a
Turkish, Formally different,Lewis 1967
Uzbek," Formally similar, without interrogative",Sjoberg 1963
Vafsi, Formally different,
Vietnamese," Formally similar, with interrogative",Thompson 1965: 313
Wari', Formally different,Everett and Kern 1997 
Washo, Formally different,Kroeber 1906
Yakut," Formally similar, without interrogative",Krueger 1962: 108-109; Haspelmath 1997: 289-291
Yidiny," Formally similar, without interrogative",Dixon 1977a 
Yimas, Formally different,Foley 1991 
Zulu," Formally similar, without interrogative",Gil 1996b
