"word","gloss","language","dialect","form"
"all_determiner"," every individual of the given class"," Arabic",""," {{t|ar|جَمِيع}}"
"all_adverb"," intensifier"," Arabic",""," ` {{t|ar|كُلّ}"
"all_adverb"," intensifier"," Arabic",""," {{t|ar|جَمِيع}}"
"each_determiner"," every"," Arabic",""," {{t|ar|كُلّ}}"
"any_pronoun"," Any things or persons"," Arabic",""," {{t+|ar|أَيّ}"
"any_pronoun"," Any things or persons"," Arabic",""," {{t|ar|كُلّ}"
"any_pronoun"," Any things or persons"," Arabic",""," {{t|ar|أَيَّة|f}"
"any_pronoun"," Any things or persons"," Arabic",""," {{t|ar|أَيْمَا}}"
"everybody"," all people"," Arabic",""," {{t|ar|جميع|alt=اَلْجَمِيع}"
"everybody"," all people"," Arabic",""," {{t|ar|كُلّ شَخْص}}"
"everyone"," every person"," Arabic",""," {{t|ar|جميع|alt=الْجَمِيع}"
"everyone"," every person"," Arabic",""," {{t|ar|[[كُلّ]] [[شَخْص]]}}"
"whoever"," any person or persons that"," Arabic",""," {{t+|ar|مَنْ}}"
"everything"," all the things"," Arabic",""," {{t|ar|كُلّ شَيْء}}"
"whatever_determiner"," for any ... that"," Arabic",""," {{t+|ar|أَيّ}"
"whatever_determiner"," for any ... that"," Arabic",""," {{t|ar|أَيَّمَا}"
"whatever_determiner"," for any ... that"," Arabic",""," {{t|ar|مَهْمَا}}"
"whatever_determiner"," "," Arabic",""," {{t|ar|أَيّ شَيْء}}"
"wherever_conjunction"," in any place` anywhere"," Arabic",""," {{t+|ar|أَيْنَ}"
"wherever_conjunction"," in any place` anywhere"," Arabic",""," {{t|ar|أَيْنَمَا}"
"wherever_conjunction"," in any place` anywhere"," Arabic",""," {{t|ar|حَيْثُمَا}}"
"everywhere"," at all places"," Arabic",""," {{t|ar|[[فِي]] [[كُلِّ]] [[مَكَانٍ]]}}"
"all_determiner"," every individual of the given class"," Arabic"," Egyptian"," {{t|arz|كل|tr=kull}}"
"and"," used to connect two similar words` phrases` et cetera"," Arabic"," Egyptian Arabic"," {{t|arz|و|tr=we}}"
"also"," in addition; besides; as well; further; too"," Arabic"," Egyptian Arabic"," {{t|arz|كمان|tr=kaman` kman}"
"also"," in addition; besides; as well; further; too"," Arabic"," Egyptian Arabic"," {{t|arz|بردو|tr=bardo}}"
"everything"," all the things"," Arabic"," Egyptian Arabic"," {{t|arz|كل حاجة|tr=kul ḥaga}}"
"and"," used to connect two similar words` phrases` et cetera"," Arabic"," Hijazi Arabic"," {{t|acw|و|tr=u}} (-w after a vowel` w- before a vowel)"
"also"," in addition; besides; as well; further; too"," Arabic"," Hijazi Arabic"," {{t|acw|كَمَان|tr=kamān|sc=Arab}"
"also"," in addition; besides; as well; further; too"," Arabic"," Hijazi Arabic"," {{t|acw|برضه|tr=barḍu|sc=Arab}}"
"each_determiner"," every"," Arabic"," Moroccan Arabic"," {{t|ary|كل}}"
"everything"," all the things"," Arabic"," Moroccan Arabic"," {{t|ary|كل شي|tr=kull ši}}"
"anything_pronoun"," =any thing of any kind"," Arabic"," Moroccan Arabic"," {{t|ary|أي حاجة|tr=ʔayy ḥāja}}"
"and"," used to connect two similar words` phrases` et cetera"," Arabic"," Tunisian Arabic"," {{t|aeb|و|tr=u}}"
"and"," used to connect two similar words` phrases` et cetera"," Aragonese",""," {{t+|an|y}}"
"and"," used at the end of a list to indicate the last item"," Aragonese",""," {{t+|an|y}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Aragonese",""," {{t+|an|y}}"
"also"," in addition; besides; as well; further; too"," Aragonese",""," {{t|an|tamien}}"
"everybody"," all people"," Aragonese",""," {{t|an|toz|m-p}"
"everybody"," all people"," Aragonese",""," {{t|an|totas|f-p}}"
"everyone"," every person"," Aragonese",""," {{t|an|toz|m-p}}"
"everything"," all the things"," Aragonese",""," {{t|an|tot}}"
"and"," used to connect two similar words` phrases` et cetera"," Aramaic"," Classical Syriac"," {{t|syc|ܘ-|tr=wə-` wa-}}"
"all_determiner"," every individual of the given class"," Aramaic"," Classical Syriac"," {{t|syc|ܟܠ|tr=koll}}"
"all_determiner"," every individual of the given class"," Aramaic"," Jewish Aramaic"," {{t|arc|כּוֹל|tr=kôl|sc=Hebr}"
"all_determiner"," every individual of the given class"," Aramaic"," Jewish Aramaic"," {{t|arc|כָּל|tr=kol|sc=Hebr}}"
"and"," used to connect two similar words` phrases` et cetera"," Aramaic"," Jewish Babylonian Aramaic"," {{t|arc|וְ־|tr=wə-|sc=Hebr}}"
"and"," used to connect two similar words` phrases` et cetera"," Armenian",""," {{t+|hy|և}"
"and"," used to connect two similar words` phrases` et cetera"," Armenian",""," {{t+|hy|ու}}"
"and"," used at the end of a list to indicate the last item"," Armenian",""," {{t+|hy|և}"
"and"," used at the end of a list to indicate the last item"," Armenian",""," {{t+|hy|ու}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Armenian",""," {{t+|hy|իսկ}}"
"also"," in addition; besides; as well; further; too"," Armenian",""," {{t+|hy|նաև}"
"also"," in addition; besides; as well; further; too"," Armenian",""," {{t+|hy|նույնպես}}"
"every"," all of a countable group"," Armenian",""," {{t+|hy|ամեն}}"
"all_determiner"," every individual of the given class"," Armenian",""," {{t+|hy|բոլոր}"
"all_determiner"," every individual of the given class"," Armenian",""," {{t+|hy|ամեն}"
"all_determiner"," every individual of the given class"," Armenian",""," {{t+|hy|սաղ}} {{qualifier|colloquial` dialectal}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Armenian",""," {{t+|hy|ամբողջ}"
"all_determiner"," throughout the whole of (a stated period of time)"," Armenian",""," {{qualifier|colloquial` dialectal}} {{t+|hy|սաղ}}"
"each_determiner"," every"," Armenian",""," {{t+|hy|ամեն}"
"each_determiner"," every"," Armenian",""," {{t+|hy|յուրաքանչյուր}}"
"each_adverb"," apiece"," Armenian",""," {{t+|hy|յուրաքանչյուր}}"
"everybody"," all people"," Armenian",""," {{t|hy|բոլորը}}"
"everywhere"," at all places"," Armenian",""," {{t+|hy|ամենուր}"
"everywhere"," at all places"," Armenian",""," {{t+|hy|ամենուրեք}}"
"and"," used to connect two similar words` phrases` et cetera"," Aromanian",""," {{t|rup|shi}}"
"also"," in addition; besides; as well; further; too"," Aromanian",""," {{t|rup|anaghiore}}"
"all_determiner"," every individual of the given class"," Aromanian",""," {{t|rup|tut}}"
"whoever"," any person or persons that"," Aromanian",""," {{t|rup|tsenushcari}}"
"all_determiner"," every individual of the given class"," Ashkun",""," {{t|ask|savāk}}"
"and"," used to connect two similar words` phrases` et cetera"," Assamese",""," {{t|as|আৰু}}"
"all_determiner"," every individual of the given class"," Assamese",""," {{t|as|সকলো}"
"all_determiner"," every individual of the given class"," Assamese",""," {{t|as|আটাই}}"
"and"," used to connect two similar words` phrases` et cetera"," Asturian",""," {{t+|ast|y}"
"and"," used to connect two similar words` phrases` et cetera"," Asturian",""," {{t+|ast|ya}}"
"and"," used at the end of a list to indicate the last item"," Asturian",""," {{t+|ast|y}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Asturian",""," {{t+|ast|y}}"
"also"," in addition; besides; as well; further; too"," Asturian",""," {{t+|ast|tamién}}"
"every"," all of a countable group"," Asturian",""," {{t+|ast|cada}}"
"all_determiner"," every individual of the given class"," Asturian",""," {{t+|ast|tou}}"
"and"," used to connect two similar words` phrases` et cetera"," Avar",""," {{t|av|ва}"
"and"," used to connect two similar words` phrases` et cetera"," Avar",""," {{t|av|-ги}}"
"all_determiner"," every individual of the given class"," Avestan",""," {{t|ae|𐬬𐬍𐬯𐬞𐬀}}"
"and"," used to connect two similar words` phrases` et cetera"," Azerbaijani",""," {{t+|az|və}}"
"also"," in addition; besides; as well; further; too"," Azerbaijani",""," {{t|az|də}"
"also"," in addition; besides; as well; further; too"," Azerbaijani",""," {{t|az|həmçinin}}"
"every"," all of a countable group"," Azerbaijani",""," {{t+|az|hər}}"
"all_determiner"," every individual of the given class"," Azerbaijani",""," {{t+|az|bütün}"
"all_determiner"," every individual of the given class"," Azerbaijani",""," {{t+|az|bütöv}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Azerbaijani",""," {{t+|az|bütün}}"
"each_determiner"," every"," Azerbaijani",""," {{t+|az|hər}"
"each_determiner"," every"," Azerbaijani",""," {{t+|az|hərə}}"
"everybody"," all people"," Azerbaijani",""," {{t+|az|hər kəs}"
"everybody"," all people"," Azerbaijani",""," {{t+|az|hamı}}"
"everything"," all the things"," Azerbaijani",""," {{t|az|hər şey}"
"everything"," all the things"," Azerbaijani",""," {{t+|az|hamısı}}"
"everybody"," all people"," Bakhtiari",""," {{t|bqi|همه|tr=hame|sc=fa-Arab}}"
"and"," used to connect two similar words` phrases` et cetera"," Bashkir",""," {{t|ba|һәм}"
"and"," used to connect two similar words` phrases` et cetera"," Bashkir",""," {{t|ba|ла}"
"and"," used to connect two similar words` phrases` et cetera"," Bashkir",""," {{t|ba|лә}"
"and"," used to connect two similar words` phrases` et cetera"," Bashkir",""," {{t|ba|менән}}"
"every"," all of a countable group"," Bashkir",""," {{t|ba|һәр}}"
"all_determiner"," every individual of the given class"," Bashkir",""," {{t|ba|бөтә}"
"all_determiner"," every individual of the given class"," Bashkir","","  {{t|ba|бөтөн}"
"all_determiner"," every individual of the given class"," Bashkir",""," {{t|ba|бар}"
"all_determiner"," every individual of the given class"," Bashkir",""," {{t|ba|барса}"
"all_determiner"," every individual of the given class"," Bashkir",""," {{t|ba|тотош}}"
"each_determiner"," every"," Bashkir",""," {{t|ba|һәр}}"
"everybody"," all people"," Bashkir",""," {{t|ba|һәр кем}}"
"everyone"," every person"," Bashkir",""," {{t|ba|һәр кем}}"
"everywhere"," at all places"," Bashkir",""," {{t|ba|һәр ерҙә}"
"everywhere"," at all places"," Bashkir",""," {{t|ba|һәр ҡайҙа}"
"everywhere"," at all places"," Bashkir",""," {{t|ba|бөтә ерҙә}"
"everywhere"," at all places"," Bashkir",""," {{t|ba|бөтә урында}}"
"and"," used to connect two similar words` phrases` et cetera"," Basque",""," {{t+|eu|eta}"
"and"," used to connect two similar words` phrases` et cetera"," Basque",""," {{t+|eu|ta}}"
"and"," used at the end of a list to indicate the last item"," Basque",""," {{t+|eu|eta}"
"and"," used at the end of a list to indicate the last item"," Basque",""," {{t+|eu|ta}}"
"all_determiner"," every individual of the given class"," Basque",""," {{t+|eu|oro}}"
"everything"," all the things"," Basque",""," {{t|eu|den}}"
"anywhere"," "," Basque",""," {{t-check|eu|edonon}"
"anywhere"," "," Basque",""," {{t-check|eu|nonnahi}}{{trans-mid}}"
"everywhere"," at all places"," Basque",""," {{t-check|eu|edonon}
everywhere, at all places, Basque, , {{t-check|eu|[[leku]] [[guztietan]]}} &lt;!-- was ""leku guztietan"" - assumed sum-of-parts; if an idiom` remove the wikilinks to the individual words. see [[User:Kephir/gadgets/xte#Translation_fixing]] -->"
"also"," in addition; besides; as well; further; too"," Bavarian",""," {{t|bar|aa}}"
"and"," used to connect two similar words` phrases` et cetera"," Belarusian",""," {{t|be|і}"
"and"," used to connect two similar words` phrases` et cetera"," Belarusian",""," {{t|be|ды}}"
"also"," in addition; besides; as well; further; too"," Belarusian",""," {{t|be|такса́ма}}"
"every"," all of a countable group"," Belarusian",""," {{t|be|ко́жны}}"
"all_determiner"," every individual of the given class"," Belarusian",""," {{t|be|уве́сь|m}"
"all_determiner"," every individual of the given class"," Belarusian",""," {{t|be|ўвесь|m}}"
"each_determiner"," every"," Belarusian",""," {{t|be|ко́жны}}"
"everybody"," all people"," Belarusian",""," {{t|be|усе́|m-p|sc=Cyrl}"
"everybody"," all people"," Belarusian",""," {{t|be|ўсе|m-p|sc=Cyrl}"
"everybody"," all people"," Belarusian",""," {{t|be|ко́жны|sc=Cyrl}}"
"everyone"," every person"," Belarusian",""," {{t|be|усе́|p|sc=Cyrl}} / {{t|be|ўсе́|p|sc=Cyrl}"
"everyone"," every person"," Belarusian",""," {{t|be|ко́жны|sc=Cyrl}}"
"everything"," all the things"," Belarusian",""," {{t+|be|усё}}"
"anything_pronoun"," =any thing of any kind"," Belarusian",""," {{t|be|што-не́будзь}"
"anything_pronoun"," =any thing of any kind"," Belarusian",""," {{t|be|нішто́}} {{qualifier|in negative sentences}}"
"anywhere"," in or at any location"," Belarusian",""," {{t|be|абы-дзе́}"
"anywhere"," in or at any location"," Belarusian",""," {{t|be|дзе-не́будзь}}"
"everywhere"," at all places"," Belarusian",""," {{t|be|усю́ды}"
"everywhere"," at all places"," Belarusian",""," {{t|be|ўсю́ды}}"
"and"," used to connect two similar words` phrases` et cetera"," Belizean Creole",""," {{t|bzj|ahn}}"
"and"," used to connect two similar words` phrases` et cetera"," Bengali",""," {{t|bn|এবং}"
"and"," used to connect two similar words` phrases` et cetera"," Bengali",""," {{t|bn|আর}}"
"also"," in addition; besides; as well; further; too"," Bengali",""," {{t|bn|-ও}}"
"every"," all of a countable group"," Bengali",""," {{t|bn|প্রতি}"
"every"," all of a countable group"," Bengali",""," {{t+|bn|হর}"
"every"," all of a countable group"," Bengali",""," {{t|bn|কুল}"
"every"," all of a countable group"," Bengali",""," {{t|bn|তামাম}}"
"all_determiner"," every individual of the given class"," Bengali",""," {{t+|bn|সকল}}"
"each_determiner"," every"," Bengali",""," {{t+|bn|হর}"
"each_determiner"," every"," Bengali",""," {{t|bn|কুল}"
"each_determiner"," every"," Bengali",""," {{t|bn|তামাম}}"
"everybody"," all people"," Bengali",""," {{t|bn|সবাই}}"
"everyone"," every person"," Bengali",""," {{t|bn|সবাই}}"
"everything"," all the things"," Bengali",""," {{t|bn|সবকিছু}}"
"everywhere"," at all places"," Bengali",""," {{t|bn|সব জায়গা}}"
"and"," used to connect two similar words` phrases` et cetera"," Bikol Central",""," {{t+|bcl|asin}}"
"and"," used at the end of a list to indicate the last item"," Bikol Central",""," {{t|bcl|buda}}"
"each_determiner"," every"," Bikol Central",""," {{t+|bcl|lambang}}"
"each_adverb"," apiece"," Bikol Central",""," {{t+|bcl|lambang}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Bikol Central"," Bikol Legazpi"," {{t|bcl|buda}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Bikol Central"," Bikol Naga"," {{t+|bcl|asin}}"
"and"," used to connect two similar words` phrases` et cetera"," Breton",""," {{t+|br|ha}"
"and"," used to connect two similar words` phrases` et cetera"," Breton",""," {{t+|br|hag}} {{qualifier|before a vowel}}"
"also"," in addition; besides; as well; further; too"," Breton",""," {{t+|br|ivez}}"
"all_determiner"," "," Breton",""," {{t+check|br|holl|alt=(an) holl}}"
"and"," used to connect two similar words` phrases` et cetera"," Bulgarian",""," {{t+|bg|и}}"
"and"," used at the end of a list to indicate the last item"," Bulgarian",""," {{t+|bg|и}}"
"also"," in addition; besides; as well; further; too"," Bulgarian",""," {{t+|bg|съ́що}"
"also"," in addition; besides; as well; further; too"," Bulgarian",""," {{t|bg|също така}}"
"every"," all of a countable group"," Bulgarian",""," {{t|bg|все́ки}}"
"all_determiner"," "," Bulgarian",""," {{t+check|bg|вси́чки|p}}"
"each_determiner"," every"," Bulgarian",""," {{t|bg|все́ки|m}}"
"any_pronoun"," Any things or persons"," Bulgarian",""," {{t|bg|кой да е}"
"any_pronoun"," Any things or persons"," Bulgarian",""," {{t|bg|който и да е}"
"any_pronoun"," Any things or persons"," Bulgarian",""," {{t|bg|всеки}"
"any_pronoun"," Any things or persons"," Bulgarian",""," {{t|bg|някой}"
"any_pronoun"," Any things or persons"," Bulgarian",""," {{t|bg|никой}}"
"everybody"," all people"," Bulgarian",""," {{t+|bg|вси́чки|m-p|sc=Cyrl}"
"everybody"," all people"," Bulgarian",""," {{t|bg|все́ки|sc=Cyrl}}"
"everyone"," every person"," Bulgarian",""," {{t+|bg|вси́чки|p|sc=Cyrl}"
"everyone"," every person"," Bulgarian",""," {{t|bg|все́ки|sc=Cyrl}}"
"anybody"," (''colloquial'') a person of consideration or standing"," Bulgarian",""," {{t|bg|важна клечка}}"
"whoever"," any person or persons that"," Bulgarian",""," {{t|bg|който и да е}}"
"everything"," all the things"," Bulgarian",""," {{t+|bg|вси́чко|n}}"
"anything_pronoun"," =any thing of any kind"," Bulgarian",""," {{t+|bg|нещо}"
"anything_pronoun"," =any thing of any kind"," Bulgarian",""," {{t|bg|каквото и да е}}"
"wherever_conjunction"," in any place` anywhere"," Bulgarian",""," {{t|bg|където и да е}}"
"wherever_conjunction"," in all places` everywhere"," Bulgarian",""," {{t|bg|навсякъде където}}"
"anywhere"," in or at any location"," Bulgarian",""," {{t+|bg|навсякъде}"
"anywhere"," in or at any location"," Bulgarian",""," {{t|bg|където и да е}}"
"everywhere"," at all places"," Bulgarian",""," {{t+|bg|навсякъде|sc=Cyrl}}"
"and"," used to connect two similar words` phrases` et cetera"," Burmese",""," {{t+|my|နဲ့}}"
"also"," in addition; besides; as well; further; too"," Burmese",""," {{t+|my|လည်း|sc=Mymr}}"
"every"," all of a countable group"," Burmese",""," {{t+|my|တိုင်း}}"
"all_determiner"," every individual of the given class"," Burmese",""," {{t+|my|အားလုံး}}"
"and"," used to connect two similar words` phrases` et cetera"," Buryat",""," {{t|bua|ба}}"
"and"," used to connect two similar words` phrases` et cetera"," Catalan",""," {{t+|ca|i}}"
"and"," used at the end of a list to indicate the last item"," Catalan",""," {{t+|ca|i}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Catalan",""," {{t+|ca|i}}"
"also"," in addition; besides; as well; further; too"," Catalan",""," {{t+|ca|també}}"
"every"," all of a countable group"," Catalan",""," {{t+|ca|cada}}"
"all_determiner"," every individual of the given class"," Catalan",""," {{t+|ca|tot|m}"
"all_determiner"," every individual of the given class"," Catalan",""," {{t+|ca|tota|f}"
"all_determiner"," every individual of the given class"," Catalan",""," {{t+|ca|tots|p}"
"all_determiner"," every individual of the given class"," Catalan",""," {{t+|ca|totes|f-p}}"
"all_adverb"," intensifier"," Catalan",""," {{t+|ca|tot}}"
"all_adverb"," "," Catalan",""," {{t+check|ca|tot}}"
"each_determiner"," every"," Catalan",""," {{t+|ca|cada}"
"each_determiner"," every"," Catalan",""," {{t|ca|cada un|alt=cada un de}"
"each_determiner"," every"," Catalan",""," {{t+|ca|cadascun|alt=cadascun de}}"
"any_pronoun"," Any things or persons"," Catalan",""," {{t+|ca|algun}"
"any_pronoun"," Any things or persons"," Catalan",""," {{t+|ca|qualque}}"
"everybody"," all people"," Catalan",""," {{t+|ca|tothom}}"
"everyone"," every person"," Catalan",""," {{t+|ca|tothom}"
"everyone"," every person"," Catalan",""," {{t+|ca|cada u}"
"everyone"," every person"," Catalan",""," {{t+|ca|cadascú}}"
"everything"," all the things"," Catalan",""," {{t+|ca|tot}}"
"anything_pronoun"," =any thing of any kind"," Catalan",""," {{t|ca|qualsevol cosa}"
"anything_pronoun"," =any thing of any kind"," Catalan",""," {{t+|ca|alguna cosa}"
"anything_pronoun"," =any thing of any kind"," Catalan",""," {{t+|ca|quelcom}"
"anything_pronoun"," =any thing of any kind"," Catalan",""," {{t+|ca|tot}"
"anything_pronoun"," =any thing of any kind"," Catalan",""," {{qualifier|in negative sentences}} {{t+|ca|res}"
"anything_pronoun"," =any thing of any kind"," Catalan",""," {{t+|ca|re}}"
"whatever_determiner"," for any ... that"," Catalan",""," {{t|ca|qualsevol}}"
"wherever_conjunction"," in any place` anywhere"," Catalan",""," {{t+|ca|onsevulga}"
"wherever_conjunction"," in any place` anywhere"," Catalan",""," {{t|ca|onsevol}"
"wherever_conjunction"," in any place` anywhere"," Catalan",""," {{t+|ca|onsevulla}}"
"anywhere"," in or at any location"," Catalan",""," {{t+|ca|onsevulga}}"
"everywhere"," at all places"," Catalan",""," {{t|ca|a tot arreu}"
"everywhere"," at all places"," Catalan",""," {{t+|ca|pertot}}"
"and"," used to connect two similar words` phrases` et cetera"," Cebuano",""," {{t|ceb|ug}}"
"also"," in addition; besides; as well; further; too"," Cebuano",""," {{t|ceb|pud}}"
"and"," used to connect two similar words` phrases` et cetera"," Central Atlas Tamazight",""," {{t|tzm|ⴷ}}"
"and"," used to connect two similar words` phrases` et cetera"," Central Dusun",""," {{t|dtp|om}}"
"all_adverb"," "," Central Kurdish",""," {{t+check|ckb|گشت}}"
"and"," used to connect two similar words` phrases` et cetera"," Central Sierra Miwok",""," {{t|csm|-l·i-}}"
"all_determiner"," every individual of the given class"," Chamicuro",""," {{t|ccc|tilishka}}"
"anything_pronoun"," =any thing of any kind"," Chamicuro",""," {{t|ccc|anaskajneye}}"
"and"," used to connect two similar words` phrases` et cetera"," Chechen",""," {{t|ce|а}"
"and"," used to connect two similar words` phrases` et cetera"," Chechen",""," {{t|ce|и}"
"and"," used to connect two similar words` phrases` et cetera"," Chechen",""," {{t|ce|кхин а}}"
"every"," all of a countable group"," Chechen",""," {{t|ce|дерриг}}"
"and"," used to connect two similar words` phrases` et cetera"," Cherokee",""," {{t+|chr|ᎠᎴ}}"
"and"," used at the end of a list to indicate the last item"," Cherokee",""," {{t+|chr|ᎠᎴ}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Cherokee",""," {{t+|chr|ᎠᎴ}}"
"and"," used to show causation"," Cherokee",""," {{t+|chr|ᎠᎴ}}"
"all_determiner"," every individual of the given class"," Cherokee",""," {{t|chr|ᏂᎦᏛ}}"
"everything"," all the things"," Cherokee",""," {{t|chr|ᎢᎬᏩᏕᎴᎩ}}"
"anything_pronoun"," =any thing of any kind"," Cherokee",""," {{t|chr|ᎦᎱᏍᏗ}}"
"everywhere"," at all places"," Cherokee",""," {{t|chr|ᏂᎬᎢ}}"
"everything"," all the things"," Cheyenne",""," {{t|chy|mȧheto}}"
"and"," used to connect two similar words` phrases` et cetera"," Chichewa",""," {{t|ny|ndi}} {{qualifier|connecting nouns}"
"and"," used to connect two similar words` phrases` et cetera"," Chichewa",""," {{t|ny|ndipo}} {{qualifier|connecting clauses}}"
"and"," used to connect two similar words` phrases` et cetera"," Chickasaw",""," {{t|cic|micha'}"
"and"," used to connect two similar words` phrases` et cetera"," Chickasaw",""," {{t|cic|mikmat}}"
"and"," used at the end of a list to indicate the last item"," Chickasaw",""," {{t|cic|micha'}"
"and"," used at the end of a list to indicate the last item"," Chickasaw",""," {{t|cic|mikmat}}"
"also"," in addition; besides; as well; further; too"," Chickasaw",""," {{t|cic|ano̠wa'}}"
"and"," used to connect two similar words` phrases` et cetera"," Chinese"," Cantonese"," {{t|yue|及|tr=kap6` gap6}"
"and"," used to connect two similar words` phrases` et cetera"," Chinese"," Cantonese"," {{t|yue|同|tr=tung4}"
"and"," used to connect two similar words` phrases` et cetera"," Chinese"," Cantonese"," {{t|yue|和|tr=wo4}}"
"also"," in addition; besides; as well; further; too"," Chinese"," Cantonese"," {{t|yue|都|tr=dou1}"
"also"," in addition; besides; as well; further; too"," Chinese"," Cantonese"," {{t+|yue|亦|tr=jik6}"
"also"," in addition; besides; as well; further; too"," Chinese"," Cantonese"," {{t|yue|也|tr=jaa5}} {{qualifier|literary}}"
"every"," all of a countable group"," Chinese"," Cantonese"," {{t+|yue|每|tr=mui5}}"
"all_determiner"," every individual of the given class"," Chinese"," Cantonese"," {{t|yue|所有|tr=so2 jau5}}"
"everybody"," all people"," Chinese"," Cantonese"," {{t|yue|大家|tr=daai6 gaa1|sc=Hani}}"
"everyone"," every person"," Chinese"," Cantonese"," {{t|yue|大家|tr=daai6 gaa1|sc=Hani}"
"everyone"," every person"," Chinese"," Cantonese"," {{t|yue|人人|tr=jan4 jan4|sc=Hani}}"
"everything"," all the things"," Chinese"," Cantonese"," {{t|yue|凡事|tr=faan4 si6|sc=Hani}"
"everything"," all the things"," Chinese"," Cantonese"," {{t|yue|一切|tr=jat1 cai3|sc=Hani}"
"everything"," all the things"," Chinese"," Cantonese"," {{t|yue|萬事|sc=Hani}"
