Rank,1-2-3,N,%,2-3-4,N,%,3-4-5,N,%
40, pin,18,(0.20139), ase,20,(0.22376), der,26,(0.29089)
41, pla,18,(0.20139), ink,20,(0.22376), ned,26,(0.29089)
42, she,18,(0.20139), ore,20,(0.22376), rds,26,(0.29089)
43, tor,18,(0.20139), ran,20,(0.22376), rns,26,(0.29089)
44, cro,17,(0.1902), ull,20,(0.22376), ver,26,(0.29089)
45, dra,17,(0.1902), ure,20,(0.22376), ams,25,(0.2797)
46, gro,17,(0.1902), ort,19,(0.21258), ots,25,(0.2797)
47, man,17,(0.1902), rea,19,(0.21258), ped,25,(0.2797)
48, sla,17,(0.1902), uck,19,(0.21258), pes,25,(0.2797)
49, sti,17,(0.1902), air,18,(0.20139), rry,25,(0.2797)
50, bea,16,(0.17901), ape,18,(0.20139), nny,24,(0.26852)
51, boo,16,(0.17901), ard,18,(0.20139), als,23,(0.25733)
52, bro,16,(0.17901), axe,18,(0.20139), per,23,(0.25733)
53, che,16,(0.17901), hin,18,(0.20139), rts,23,(0.25733)
54, con,16,(0.17901), ode,18,(0.20139), ads,22,(0.24614)
55, cor,16,(0.17901), ome,18,(0.20139), ddy,22,(0.24614)
56, fil,16,(0.17901), oot,18,(0.20139), ggy,22,(0.24614)
57, flo,16,(0.17901), ade,17,(0.1902), ine,22,(0.24614)
58, flu,16,(0.17901), ail,17,(0.1902), ker,22,(0.24614)
59, lim,16,(0.17901), ark,17,(0.1902), ows,22,(0.24614)
60, sal,16,(0.17901), ock,17,(0.1902), ppy,22,(0.24614)
61, spe,16,(0.17901), oll,17,(0.1902), bes,21,(0.23495)
62, tar,16,(0.17901), ong,17,(0.1902), ger,21,(0.23495)
63, ami,15,(0.16782), ook,17,(0.1902), ops,21,(0.23495)
64, can,15,(0.16782), ron,17,(0.1902), rer,21,(0.23495)
65, coo,15,(0.16782), uff,17,(0.1902), ces,20,(0.22376)
66, cre,15,(0.16782), ump,17,(0.1902), mas,20,(0.22376)
67, gam,15,(0.16782), ura,17,(0.1902), rls,20,(0.22376)
68, glo,15,(0.16782), ust,17,(0.1902), yer,20,(0.22376)
69, mar,15,(0.16782), utt,17,(0.1902), ack,19,(0.21258)
70, pea,15,(0.16782), ack,16,(0.17901), ate,19,(0.21258)
71, qui,15,(0.16782), and,16,(0.17901), ist,19,(0.21258)
72, red,15,(0.16782), awe,16,(0.17901), mmy,19,(0.21258)
73, scu,15,(0.16782), igh,16,(0.17901), ssy,19,(0.21258)
74, ser,15,(0.16782), ipe,16,(0.17901), aps,18,(0.20139)
75, stu,15,(0.16782), our,16,(0.17901), ave,18,(0.20139)
76, the,15,(0.16782), urr,16,(0.17901), ays,18,(0.20139)
77, bas,14,(0.15663), ain,15,(0.16782), bby,18,(0.20139)
78, blo,14,(0.15663), art,15,(0.16782), ded,18,(0.20139)
79, cho,14,(0.15663), aul,15,(0.16782), dge,18,(0.20139)
80, hal,14,(0.15663), aye,15,(0.16782), ets,18,(0.20139)
81, loo,14,(0.15663), eal,15,(0.16782), nas,18,(0.20139)
82, per,14,(0.15663), ewe,15,(0.16782), nch,18,(0.20139)
83, sco,14,(0.15663), har,15,(0.16782), ras,18,(0.20139)
84, sli,14,(0.15663), hir,15,(0.16782), uts,18,(0.20139)
85, slu,14,(0.15663), ick,15,(0.16782), ved,18,(0.20139)
86, sna,14,(0.15663), lea,15,(0.16782), wer,18,(0.20139)
87, bal,13,(0.14545), lue,15,(0.16782), ank,17,(0.1902)
88, blu,13,(0.14545), oil,15,(0.16782), ash,17,(0.1902)
89, bor,13,(0.14545), ooe,15,(0.16782), ber,17,(0.1902)
90, col,13,(0.14545), ros,15,(0.16782), ens,17,(0.1902)
91, far,13,(0.14545), row,15,(0.16782), ids,17,(0.1902)
92, fri,13,(0.14545), ule,15,(0.16782), ill,17,(0.1902)
93, fro,13,(0.14545), unk,15,(0.16782), irs,17,(0.1902)
94, gen,13,(0.14545), ute,15,(0.16782), ler,17,(0.1902)
95, gla,13,(0.14545), ant,14,(0.15663), mer,17,(0.1902)
96, goo,13,(0.14545), att,14,(0.15663), one,17,(0.1902)
97, har,13,(0.14545), eat,14,(0.15663), rms,17,(0.1902)
98, mil,13,(0.14545), eed,14,(0.15663), rse,17,(0.1902)
99, pan,13,(0.14545), ibe,14,(0.15663), sks,17,(0.1902)
100, rea,13,(0.14545), ice,14,(0.15663), zes,17,(0.1902)
101, ske,13,(0.14545), ilt,14,(0.15663), ews,16,(0.17901)
102, slo,13,(0.14545), inc,14,(0.15663), ick,16,(0.17901)
103, sno,13,(0.14545), lin,14,(0.15663), ier,16,(0.17901)
104, sol,13,(0.14545), lum,14,(0.15663), int,16,(0.17901)
105, sor,13,(0.14545), ola,14,(0.15663), lds,16,(0.17901)
106, swi,13,(0.14545), ors,14,(0.15663), nce,16,(0.17901)
107, tru,13,(0.14545), ous,14,(0.15663), ner,16,(0.17901)
108, whe,13,(0.14545), out,14,(0.15663), nky,16,(0.17901)
109, ban,12,(0.13426), rin,14,(0.15663), ral,16,(0.17901)
110, bon,12,(0.13426), roo,14,(0.15663), sed,16,(0.17901)
111, bun,12,(0.13426), ube,14,(0.15663), sty,16,(0.17901)
112, chu,12,(0.13426), unt,14,(0.15663), ths,16,(0.17901)
113, cru,12,(0.13426), ala,13,(0.14545), use,16,(0.17901)
114, din,12,(0.13426), amb,13,(0.14545), xed,16,(0.17901)
115, dro,12,(0.13426), amp,13,(0.14545), ags,15,(0.16782)
116, fli,12,(0.13426), aro,13,(0.14545), ang,15,(0.16782)
117, gle,12,(0.13426), ede,13,(0.14545), cky,15,(0.16782)
118, hea,12,(0.13426), end,13,(0.14545), ees,15,(0.16782)
119, her,12,(0.13426), eni,13,(0.14545), ges,15,(0.16782)
120, hoo,12,(0.13426), eri,13,(0.14545), ide,15,(0.16782)
121, lar,12,(0.13426), eve,13,(0.14545), ies,15,(0.16782)
122, mer,12,(0.13426), ise,13,(0.14545), ile,15,(0.16782)
123, moo,12,(0.13426), lee,13,(0.14545), ite,15,(0.16782)
124, mor,12,(0.13426), ood,13,(0.14545), rge,15,(0.16782)
125, mur,12,(0.13426), oun,13,(0.14545), ros,15,(0.16782)
126, mus,12,(0.13426), rai,13,(0.14545), ugh,15,(0.16782)
127, pal,12,(0.13426), rit,13,(0.14545), yed,15,(0.16782)
128, pil,12,(0.13426), urs,13,(0.14545), ain,14,(0.15663)
129, pra,12,(0.13426), use,13,(0.14545), ase,14,(0.15663)
130, res,12,(0.13426), adi,12,(0.13426), eds,14,(0.15663)
131, rou,12,(0.13426), aff,12,(0.13426), eed,14,(0.15663)
132, spo,12,(0.13426), arn,12,(0.13426), els,14,(0.15663)
133, str,12,(0.13426), ass,12,(0.13426), fts,14,(0.15663)
134, tal,12,(0.13426), ean,12,(0.13426), ght,14,(0.15663)
135, ten,12,(0.13426), eli,12,(0.13426), ink,14,(0.15663)
136, ton,12,(0.13426), enn,12,(0.13426), lar,14,(0.15663)
137, top,12,(0.13426), ere,12,(0.13426), las,14,(0.15663)
138, twi,12,(0.13426), exe,12,(0.13426), lks,14,(0.15663)
139, win,12,(0.13426), hor,12,(0.13426), los,14,(0.15663)
140, ble,11,(0.12307), int,12,(0.13426), med,14,(0.15663)
141, del,11,(0.12307), ixe,12,(0.13426), nic,14,(0.15663)
142, dri,11,(0.12307), lam,12,(0.13426), ris,14,(0.15663)
143, dur,11,(0.12307), las,12,(0.13426), tas,14,(0.15663)
144, fin,11,(0.12307), oin,12,(0.13426), unt,14,(0.15663)
145, hon,11,(0.12307), olt,12,(0.13426), ant,13,(0.14545)
146, lat,11,(0.12307), ond,12,(0.13426), are,13,(0.14545)
147, lou,11,(0.12307), oon,12,(0.13426), ary,13,(0.14545)
148, mac,11,(0.12307), ott,12,(0.13426), bed,13,(0.14545)
149, mat,11,(0.12307), oxe,12,(0.13426), est,13,(0.14545)
150, mon,11,(0.12307), ram,12,(0.13426), ied,13,(0.14545)
151, mot,11,(0.12307), ras,12,(0.13426), ips,13,(0.14545)
152, pat,11,(0.12307), rim,12,(0.13426), lon,13,(0.14545)
153, pol,11,(0.12307), ung,12,(0.13426), man,13,(0.14545)
154, poo,11,(0.12307), abe,11,(0.12307), men,13,(0.14545)
155, pre,11,(0.12307), arg,11,(0.12307), nge,13,(0.14545)
156, pun,11,(0.12307), ari,11,(0.12307), ngo,13,(0.14545)
157, pur,11,(0.12307), arl,11,(0.12307), ock,13,(0.14545)
158, ran,11,(0.12307), avi,11,(0.12307), ods,13,(0.14545)
159, rat,11,(0.12307), ead,11,(0.12307), ols,13,(0.14545)
160, sar,11,(0.12307), eas,11,(0.12307), ose,13,(0.14545)
161, sur,11,(0.12307), eck,11,(0.12307), rky,13,(0.14545)
162, thi,11,(0.12307), eep,11,(0.12307), shy,13,(0.14545)
163, tre,11,(0.12307), eer,11,(0.12307), tal,13,(0.14545)
164, wor,11,(0.12307), ein,11,(0.12307), tts,13,(0.14545)
165, aba,10,(0.11188), elt,11,(0.12307), ums,13,(0.14545)
166, ala,10,(0.11188), erm,11,(0.12307), ach,12,(0.13426)
167, ali,10,(0.11188), err,11,(0.12307), ail,12,(0.13426)
168, bat,10,(0.11188), eta,11,(0.12307), ast,12,(0.13426)
169, bel,10,(0.11188), ete,11,(0.12307), aws,12,(0.13426)
170, bre,10,(0.11188), hee,11,(0.12307), dos,12,(0.13426)
171, bru,10,(0.11188), ind,11,(0.12307), eps,12,(0.13426)
172, cal,10,(0.11188), inn,11,(0.12307), ise,12,(0.13426)
173, cle,10,(0.11188), irt,11,(0.12307), ogs,12,(0.13426)
174, cli,10,(0.11188), ist,11,(0.12307), oks,12,(0.13426)
175, cri,10,(0.11188), itt,11,(0.12307), ore,12,(0.13426)
176, dea,10,(0.11188), lat,11,(0.12307), out,12,(0.13426)
177, dre,10,(0.11188), nar,11,(0.12307), rth,12,(0.13426)
178, fra,10,(0.11188), oma,11,(0.12307), ser,12,(0.13426)
179, gau,10,(0.11188), omb,11,(0.12307), uds,12,(0.13426)
180, glu,10,(0.11188), ool,11,(0.12307), ump,12,(0.13426)
181, gul,10,(0.11188), orn,11,(0.12307), urs,12,(0.13426)
182, hol,10,(0.11188), rap,11,(0.12307), ven,12,(0.13426)
183, lun,10,(0.11188), rat,11,(0.12307), zed,12,(0.13426)
184, mol,10,(0.11188), res,11,(0.12307), ade,11,(0.12307)
185, mou,10,(0.11188), ris,11,(0.12307), ake,11,(0.12307)
186, pen,10,(0.11188), uri,11,(0.12307), ard,11,(0.12307)
187, por,10,(0.11188), ach,10,(0.11188), art,11,(0.12307)
188, rec,10,(0.11188), alm,10,(0.11188), ass,11,(0.12307)
189, roo,10,(0.11188), ama,10,(0.11188), ble,11,(0.12307)
190, sab,10,(0.11188), app,10,(0.11188), eer,11,(0.12307)
191, scr,10,(0.11188), arc,10,(0.11188), ery,11,(0.12307)
192, sil,10,(0.11188), ath,10,(0.11188), gas,11,(0.12307)
193, spu,10,(0.11188), aun,10,(0.11188), ims,11,(0.12307)
194, tab,10,(0.11188), ele,10,(0.11188), ive,11,(0.12307)
195, tel,10,(0.11188), elo,10,(0.11188), mbs,11,(0.12307)
196, who,10,(0.11188), hea,10,(0.11188), mpy,11,(0.12307)
197, woo,10,(0.11188), ina,10,(0.11188), nal,11,(0.12307)
198, ant,9,(0.10069), ino,10,(0.11188), ndy,11,(0.12307)
199, are,9,(0.10069), lai,10,(0.11188), nos,11,(0.12307)
200, aur,9,(0.10069), loo,10,(0.11188), nto,11,(0.12307)
201, ben,9,(0.10069), lot,10,(0.11188), ony,11,(0.12307)
202, bin,9,(0.10069), ogi,10,(0.11188), oth,11,(0.12307)
203, bir,9,(0.10069), old,10,(0.11188), own,11,(0.12307)
204, bli,9,(0.10069), olo,10,(0.11188), rbs,11,(0.12307)
205, but,9,(0.10069), ona,10,(0.11188), rrs,11,(0.12307)
206, cam,9,(0.10069), oni,10,(0.11188), ues,11,(0.12307)
207, coa,9,(0.10069), onk,10,(0.11188), unk,11,(0.12307)
208, cou,9,(0.10069), oof,10,(0.11188), ute,11,(0.12307)
209, cul,9,(0.10069), ori,10,(0.11188), wls,11,(0.12307)
210, cut,9,(0.10069), ork,10,(0.11188), cal,10,(0.11188)
211, dar,9,(0.10069), orm,10,(0.11188), cus,10,(0.11188)
212, dic,9,(0.10069), ota,10,(0.11188), dis,10,(0.11188)
213, dol,9,(0.10069), oul,10,(0.11188), eak,10,(0.11188)
214, don,9,(0.10069), rac,10,(0.11188), eas,10,(0.11188)
215, dow,9,(0.10069), raw,10,(0.11188), ell,10,(0.11188)
216, fle,9,(0.10069), unc,10,(0.11188), ent,10,(0.11188)
217, fre,9,(0.10069), unn,10,(0.11188), fer,10,(0.11188)
218, gir,9,(0.10069), url,10,(0.11188), ffy,10,(0.11188)
219, gre,9,(0.10069), usk,10,(0.11188), gan,10,(0.11188)
220, han,9,(0.10069), win,10,(0.11188), ged,10,(0.11188)
221, hel,9,(0.10069), yre,10,(0.11188), ice,10,(0.11188)
222, hor,9,(0.10069), abi,9,(0.10069), ime,10,(0.11188)
223, kno,9,(0.10069), abo,9,(0.10069), let,10,(0.11188)
224, log,9,(0.10069), agg,9,(0.10069), mic,10,(0.11188)
225, mai,9,(0.10069), ait,9,(0.10069), nty,10,(0.11188)
226, mas,9,(0.10069), alo,9,(0.10069), oid,10,(0.11188)
227, met,9,(0.10069), anc,9,(0.10069), ole,10,(0.11188)
228, plu,9,(0.10069), ank,9,(0.10069), ove,10,(0.11188)
229, pul,9,(0.10069), arr,9,(0.10069), rch,10,(0.11188)
230, que,9,(0.10069), atc,9,(0.10069), ria,10,(0.11188)
231, reb,9,(0.10069), edg,9,(0.10069), ric,10,(0.11188)
232, ree,9,(0.10069), eek,9,(0.10069), rps,10,(0.11188)
233, rep,9,(0.10069), ene,9,(0.10069), rst,10,(0.11188)
234, sau,9,(0.10069), eno,9,(0.10069), the,10,(0.11188)
235, see,9,(0.10069), ens,9,(0.10069), tis,10,(0.11188)
236, sou,9,(0.10069), era,9,(0.10069), ton,10,(0.11188)
237, swo,9,(0.10069), ett,9,(0.10069), ubs,10,(0.11188)
238, tac,9,(0.10069), hoo,9,(0.10069), vas,10,(0.11188)
239, ter,9,(0.10069), ian,9,(0.10069), vel,10,(0.11188)
240, ven,9,(0.10069), iff,9,(0.10069), abs,9,(0.10069)
241, war,9,(0.10069), imp,9,(0.10069), amp,9,(0.10069)
242, wee,9,(0.10069), ita,9,(0.10069), apt,9,(0.10069)
243, wha,9,(0.10069), ith,9,(0.10069), aze,9,(0.10069)
244, abo,8,(0.08951), lac,9,(0.10069), cas,9,(0.10069)
245, all,8,(0.08951), lim,9,(0.10069), ced,9,(0.10069)
246, alo,8,(0.08951), lon,9,(0.10069), cer,9,(0.10069)
247, arg,8,(0.08951), low,9,(0.10069), dgy,9,(0.10069)
248, bee,8,(0.08951), ogg,9,(0.10069), eal,9,(0.10069)
249, ber,8,(0.08951), oom,9,(0.10069), eek,9,(0.10069)
250, bil,8,(0.08951), oop,9,(0.10069), eep,9,(0.10069)
251, bol,8,(0.08951), oos,9,(0.10069), eks,9,(0.10069)
252, bou,8,(0.08951), oug,9,(0.10069), ems,9,(0.10069)
253, bul,8,(0.08951), oze,9,(0.10069), end,9,(0.10069)
254, cap,8,(0.08951), rav,9,(0.10069), eys,9,(0.10069)
255, cas,8,(0.08951), ric,9,(0.10069), ggs,9,(0.10069)
256, cod,8,(0.08951), ril,9,(0.10069), got,9,(0.10069)
257, cop,8,(0.08951), rip,9,(0.10069), ias,9,(0.10069)
258, dec,8,(0.08951), rum,9,(0.10069), iff,9,(0.10069)
259, dor,8,(0.08951), uke,9,(0.10069), ifs,9,(0.10069)
260, dou,8,(0.08951), umm,9,(0.10069), ily,9,(0.10069)
261, dum,8,(0.08951), ush,9,(0.10069), ith,9,(0.10069)
262, dun,8,(0.08951), ali,8,(0.08951), lky,9,(0.10069)
263, fan,8,(0.08951), ami,8,(0.08951), lms,9,(0.10069)
264, fer,8,(0.08951), amm,8,(0.08951), lus,9,(0.10069)
265, fet,8,(0.08951), ana,8,(0.08951), mbo,9,(0.10069)
266, fir,8,(0.08951), apa,8,(0.08951), mos,9,(0.10069)
267, fol,8,(0.08951), api,8,(0.08951), ney,9,(0.10069)
268, gal,8,(0.08951), ara,8,(0.08951), nga,9,(0.10069)
269, gli,8,(0.08951), ata,8,(0.08951), ngy,9,(0.10069)
270, gon,8,(0.08951), ati,8,(0.08951), nse,9,(0.10069)
271, gor,8,(0.08951), awn,8,(0.08951), nus,9,(0.10069)
272, hos,8,(0.08951), eav,8,(0.08951), oke,9,(0.10069)
273, hum,8,(0.08951), ebe,8,(0.08951), oop,9,(0.10069)
274, kin,8,(0.08951), eca,8,(0.08951), pal,9,(0.10069)
275, lam,8,(0.08951), edi,8,(0.08951), ree,9,(0.10069)
276, mal,8,(0.08951), eel,8,(0.08951), rum,9,(0.10069)
277, mea,8,(0.08951), eig,8,(0.08951), rus,9,(0.10069)
278, mir,8,(0.08951), eis,8,(0.08951), set,9,(0.10069)
279, muc,8,(0.08951), eme,8,(0.08951), ste,9,(0.10069)
280, nar,8,(0.08951), emi,8,(0.08951), tos,9,(0.10069)
281, pac,8,(0.08951), emp,8,(0.08951), uck,9,(0.10069)
282, pas,8,(0.08951), erk,8,(0.08951), uff,9,(0.10069)
283, ple,8,(0.08951), ese,8,(0.08951), ugs,9,(0.10069)
284, pou,8,(0.08951), eto,8,(0.08951), und,9,(0.10069)
285, ram,8,(0.08951), han,8,(0.08951), ace,8,(0.08951)
286, ret,8,(0.08951), hil,8,(0.08951), age,8,(0.08951)
287, rot,8,(0.08951), ife,8,(0.08951), aks,8,(0.08951)
288, san,8,(0.08951), ift,8,(0.08951), aky,8,(0.08951)
289, sen,8,(0.08951), ila,8,(0.08951), and,8,(0.08951)
290, shu,8,(0.08951), ize,8,(0.08951), ape,8,(0.08951)
291, sin,8,(0.08951), lar,8,(0.08951), arm,8,(0.08951)
292, son,8,(0.08951), lie,8,(0.08951), bar,8,(0.08951)
293, spr,8,(0.08951), lun,8,(0.08951), bas,8,(0.08951)
294, swe,8,(0.08951), oar,8,(0.08951), che,8,(0.08951)
295, tan,8,(0.08951), obb,8,(0.08951), dal,8,(0.08951)
296, tea,8,(0.08951), oge,8,(0.08951), ead,8,(0.08951)
297, thr,8,(0.08951), ois,8,(0.08951), ear,8,(0.08951)
298, thu,8,(0.08951), oli,8,(0.08951), eat,8,(0.08951)
299, til,8,(0.08951), ord,8,(0.08951), een,8,(0.08951)
300, tin,8,(0.08951), oup,8,(0.08951), eet,8,(0.08951)
301, tol,8,(0.08951), owl,8,(0.08951), efs,8,(0.08951)
302, ver,8,(0.08951), rus,8,(0.08951), ess,8,(0.08951)
303, vin,8,(0.08951), uba,8,(0.08951), fty,8,(0.08951)
304, vir,8,(0.08951), udd,8,(0.08951), gal,8,(0.08951)
305, vol,8,(0.08951), upe,8,(0.08951), gue,8,(0.08951)
306, wal,8,(0.08951), urd,8,(0.08951), igs,8,(0.08951)
307, wri,8,(0.08951), uss,8,(0.08951), iny,8,(0.08951)
308, ado,7,(0.07832), war,8,(0.08951), ion,8,(0.08951)
309, aga,7,(0.07832), yin,8,(0.08951), key,8,(0.08951)
310, alg,7,(0.07832), yke,8,(0.08951), lay,8,(0.08951)
311, ang,7,(0.07832), add,7,(0.07832), lch,8,(0.08951)
312, ani,7,(0.07832), aki,7,(0.07832), lfs,8,(0.08951)
313, axi,7,(0.07832), ani,7,(0.07832), lic,8,(0.08951)
314, bab,7,(0.07832), ann,7,(0.07832), lla,8,(0.08951)
315, beg,7,(0.07832), ano,7,(0.07832), llo,8,(0.08951)
316, bus,7,(0.07832), ans,7,(0.07832), mma,8,(0.08951)
317, cad,7,(0.07832), apo,7,(0.07832), nis,8,(0.08951)
318, cel,7,(0.07832), ars,7,(0.07832), nna,8,(0.08951)
319, clu,7,(0.07832), ava,7,(0.07832), obs,8,(0.08951)
320, cos,7,(0.07832), car,7,(0.07832), ode,8,(0.08951)
321, cov,7,(0.07832), eac,7,(0.07832), ofs,8,(0.08951)
322, cub,7,(0.07832), eak,7,(0.07832), oky,8,(0.08951)
323, deb,7,(0.07832), ebu,7,(0.07832), oms,8,(0.08951)
324, dei,7,(0.07832), een,7,(0.07832), ook,8,(0.08951)
325, dem,7,(0.07832), eet,7,(0.07832), ort,8,(0.08951)
326, dir,7,(0.07832), ela,7,(0.07832), pas,8,(0.08951)
327, dit,7,(0.07832), ena,7,(0.07832), phs,8,(0.08951)
328, div,7,(0.07832), enc,7,(0.07832), rdy,8,(0.08951)
329, dru,7,(0.07832), ern,7,(0.07832), rly,8,(0.08951)
330, duc,7,(0.07832), ero,7,(0.07832), rty,8,(0.08951)
331, fat,7,(0.07832), ewa,7,(0.07832), sky,8,(0.08951)
332, fun,7,(0.07832), hal,7,(0.07832), tic,8,(0.08951)
333, fus,7,(0.07832), hew,7,(0.07832), tsy,8,(0.08951)
334, gna,7,(0.07832), hie,7,(0.07832), uch,8,(0.08951)
335, gru,7,(0.07832), hot,7,(0.07832), ued,8,(0.08951)
336, gui,7,(0.07832), ich,7,(0.07832), uls,8,(0.08951)
337, hai,7,(0.07832), ier,7,(0.07832), ult,8,(0.08951)
338, hil,7,(0.07832), ima,7,(0.07832), ume,8,(0.08951)
339, kee,7,(0.07832), imb,7,(0.07832), ung,8,(0.08951)
340, lai,7,(0.07832), ini,7,(0.07832), ups,8,(0.08951)
341, loa,7,(0.07832), ipp,7,(0.07832), ush,8,(0.08951)
342, lot,7,(0.07832), irl,7,(0.07832), wns,8,(0.08951)
343, lur,7,(0.07832), itc,7,(0.07832), xer,8,(0.08951)
344, mam,7,(0.07832), lic,7,(0.07832), yly,8,(0.08951)
345, may,7,(0.07832), lip,7,(0.07832), zzy,8,(0.08951)
346, mel,7,(0.07832), lit,7,(0.07832), act,7,(0.07832)
347, men,7,(0.07832), lop,7,(0.07832), ady,7,(0.07832)
348, mis,7,(0.07832), lou,7,(0.07832), ahs,7,(0.07832)
349, mul,7,(0.07832), lut,7,(0.07832), ale,7,(0.07832)
350, ner,7,(0.07832), mbe,7,(0.07832), ane,7,(0.07832)
351, nit,7,(0.07832), nti,7,(0.07832), ath,7,(0.07832)
352, pai,7,(0.07832), oal,7,(0.07832), awn,7,(0.07832)
353, pav,7,(0.07832), oat,7,(0.07832), bel,7,(0.07832)
354, pee,7,(0.07832), onn,7,(0.07832), bra,7,(0.07832)
355, plo,7,(0.07832), oph,7,(0.07832), bus,7,(0.07832)
356, quo,7,(0.07832), oss,7,(0.07832), eam,7,(0.07832)
357, rag,7,(0.07832), ost,7,(0.07832), ean,7,(0.07832)
358, rai,7,(0.07832), oto,7,(0.07832), ena,7,(0.07832)
359, ref,7,(0.07832), oye,7,(0.07832), ert,7,(0.07832)
360, ren,7,(0.07832), qua,7,(0.07832), eve,7,(0.07832)
361, ris,7,(0.07832), ren,7,(0.07832), gle,7,(0.07832)
362, row,7,(0.07832), ria,7,(0.07832), gus,7,(0.07832)
363, sai,7,(0.07832), rot,7,(0.07832), ipe,7,(0.07832)
364, sat,7,(0.07832), rou,7,(0.07832), lps,7,(0.07832)
365, sav,7,(0.07832), rue,7,(0.07832), lty,7,(0.07832)
366, sig,7,(0.07832), run,7,(0.07832), lve,7,(0.07832)
367, sma,7,(0.07832), ubb,7,(0.07832), met,7,(0.07832)
368, sni,7,(0.07832), ude,7,(0.07832), nns,7,(0.07832)
369, squ,7,(0.07832), ugg,7,(0.07832), ody,7,(0.07832)
370, sul,7,(0.07832), uil,7,(0.07832), oed,7,(0.07832)
371, tam,7,(0.07832), uin,7,(0.07832), ong,7,(0.07832)
372, tax,7,(0.07832), ume,7,(0.07832), ope,7,(0.07832)
373, tho,7,(0.07832), une,7,(0.07832), oss,7,(0.07832)
374, tit,7,(0.07832), wee,7,(0.07832), ote,7,(0.07832)
375, tub,7,(0.07832), aba,6,(0.06713), oty,7,(0.07832)
376, tun,7,(0.07832), abl,6,(0.06713), pis,7,(0.07832)
377, tur,7,(0.07832), ago,6,(0.06713), pos,7,(0.07832)
378, typ,7,(0.07832), ais,6,(0.06713), rfs,7,(0.07832)
379, unc,7,(0.07832), alk,6,(0.06713), rie,7,(0.07832)
380, val,7,(0.07832), alp,6,(0.06713), ron,7,(0.07832)
381, wai,7,(0.07832), alt,6,(0.06713), rve,7,(0.07832)
382, wan,7,(0.07832), alv,6,(0.06713), sin,7,(0.07832)
383, wil,7,(0.07832), arb,6,(0.06713), sps,7,(0.07832)
384, wis,7,(0.07832), arm,6,(0.06713), sse,7,(0.07832)
385, wit,7,(0.07832), arp,6,(0.06713), sta,7,(0.07832)
386, zin,7,(0.07832), arv,6,(0.06713), tre,7,(0.07832)
387, agi,6,(0.06713), ash,6,(0.06713), tta,7,(0.07832)
388, alm,6,(0.06713), asi,6,(0.06713), tte,7,(0.07832)
